[20:37:04.296] ======================================================================
[20:37:04.296] BTC 5m ARB SCANNER v3
[20:37:04.296] Threshold: YES_buy + NO_buy < $0.990
[20:37:04.296] Poll interval: 100ms
[20:37:04.296] Duration: 5 minutes
[20:37:04.296] ======================================================================
[20:37:04.450] CLOB API latency: 51.3ms (avg of 3)
[20:37:04.450] ⚠️  High latency — you're not co-located. Run from AWS eu-west-1 for <10ms.
[20:37:04.450] 
[20:37:04.450] Scanning... (Ctrl+C to stop)
[20:37:04.450] 
[20:37:04.472] 📊 Bitcoin Up or Down - March 24, 4:35PM-4:40PM ET
[20:37:04.472]    YES: 50479080100328806697...
[20:37:04.472]    NO:  13678910416501368810...
[20:37:04.472] 
[20:37:18.067] 🔄 SELL ARB | YES_sell=$0.780 + NO_sell=$0.250 = $1.0300 | spread=$0.0300
[20:37:18.185]    └─ closed after 371ms
[20:37:18.185] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:18.313] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:18.436] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:18.574] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:18.686] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:18.793] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:18.916] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:19.038] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:19.142] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.250 = $1.0100 | spread=$0.0100
[20:37:21.681] 🔄 SELL ARB | YES_sell=$0.760 + NO_sell=$0.280 = $1.0400 | spread=$0.0400
[20:37:21.808] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:21.918] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.029] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.186] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.306] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.424] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.587] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.698] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.849] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:22.992] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.280 = $1.0100 | spread=$0.0100
[20:37:23.165] 🔄 SELL ARB | YES_sell=$0.730 + NO_sell=$0.290 = $1.0200 | spread=$0.0200
[20:37:23.300] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:23.414] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:23.548] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:23.675] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:23.788] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:23.903] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.025] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.154] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.261] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.376] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.509] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.640] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.290 = $1.0100 | spread=$0.0100
[20:37:24.758] 🔄 SELL ARB | YES_sell=$0.720 + NO_sell=$0.300 = $1.0200 | spread=$0.0200
[20:37:24.881] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
[20:37:24.994] 🔄 SELL ARB | YES_sell=$0.710 + NO_sell=$0.300 = $1.0100 | spread=$0.0100
